frame,timestamp,tracker_id,object_type,position,team_id,video_x,video_y,pitch_x,pitch_y,board_x,board_y,confidence
0,0.0,-1,ball,,,517.63,385.77,5626.64,5516.28,562.66,630.43,0.475
1,0.036,-1,ball,,,519.43,383.96,5623.82,5483.45,562.38,626.68,0.293
2,0.071,-1,ball,,,973.26,534.9,9108.91,6873.61,910.89,770.0,0.856
3,0.107,2,player,11,0,410.24,506.65,5974.64,6664.17,597.46,761.62,0.917
3,0.107,8,player,11,1,332.51,500.53,5559.3,6620.67,555.93,756.65,0.917
3,0.107,9,player,8,1,695.17,521.61,7510.14,6772.09,751.01,770.0,0.914
3,0.107,3,player,8,0,1148.43,538.15,10190.89,6903.42,1019.09,770.0,0.91
3,0.107,22,player,2,1,138.05,384.16,3513.94,5604.56,351.39,640.52,0.905
3,0.107,5,player,2,0,592.52,488.46,6796.29,6511.95,679.63,744.22,0.905
3,0.107,11,player,1,1,576.33,452.69,6491.95,6197.96,649.19,708.34,0.899
3,0.107,12,player,3,1,301.47,344.52,3906.77,5077.23,390.68,580.25,0.889
3,0.107,10,player,4,1,585.36,356.56,5800.65,5106.11,580.07,583.56,0.887
3,0.107,14,player,1,0,482.52,390.74,5471.5,5575.16,547.15,637.16,0.879
3,0.107,7,player,5,1,227.42,444.71,4598.79,6173.82,459.88,705.58,0.878
3,0.107,6,player,6,1,354.26,401.08,4838.43,5726.14,483.84,654.42,0.877
3,0.107,16,player,3,0,132.56,356.55,3134.75,5296.6,313.48,605.33,0.875
3,0.107,4,player,7,1,738.45,409.55,7208.36,5715.8,720.84,653.23,0.872
3,0.107,21,player,4,0,530.92,382.96,5693.79,5467.63,569.38,624.87,0.866
3,0.107,13,player,5,0,883.8,351.23,7930.67,4869.31,793.07,556.49,0.849
3,0.107,15,player,6,0,500.66,309.3,4712.95,4446.94,471.3,508.22,0.844
3,0.107,20,player,7,0,209.86,428.71,4359.7,6031.65,435.97,689.33,0.837
3,0.107,17,player,9,1,383.5,283.53,3552.83,4098.68,355.28,468.42,0.826
3,0.107,19,player,9,0,576.93,203.25,3586.23,1981.02,358.62,226.4,0.793
3,0.107,23,player,10,0,665.16,214.72,4617.85,2153.98,461.78,246.17,0.687
3,0.107,1,player,111,0,68.27,285.0,1660.7,4362.66,166.07,498.59,0.922
3,0.107,-1,ball,,,983.71,533.11,9174.08,6861.13,917.41,770.0,0.8
4,0.143,8,player,11,1,332.26,500.43,5559.61,6621.29,555.96,756.72,0.918
4,0.143,2,player,11,0,410.56,506.71,5979.41,6665.8,597.94,761.81,0.916
4,0.143,3,player,8,0,1148.51,537.82,10196.52,6899.87,1019.65,770.0,0.914
4,0.143,9,player,8,1,699.08,520.19,7529.72,6761.64,752.97,770.0,0.913
4,0.143,11,player,1,1,579.67,453.76,6522.04,6207.32,652.2,709.41,0.894
4,0.143,12,player,3,1,303.91,344.65,3926.95,5076.98,392.7,580.23,0.894
4,0.143,10,player,4,1,584.96,356.0,5798.93,5097.69,579.89,582.59,0.89
4,0.143,5,player,2,0,593.22,487.91,6801.22,6507.63,680.12,743.73,0.885
4,0.143,22,player,2,1,139.74,383.47,3515.58,5596.51,351.56,639.6,0.883
4,0.143,14,player,1,0,482.32,390.63,5473.95,5573.17,547.4,636.93,0.881
4,0.143,7,player,5,1,228.17,444.75,4604.38,6174.7,460.44,705.68,0.878
4,0.143,16,player,3,0,132.16,358.19,3156.6,5315.58,315.66,607.5,0.873
4,0.143,6,player,6,1,356.39,402.49,4867.35,5740.25,486.73,656.03,0.872
4,0.143,21,player,4,0,530.9,383.18,5700.77,5469.39,570.08,625.07,0.87
4,0.143,20,player,7,0,211.94,428.06,4365.2,6025.67,436.52,688.65,0.852
4,0.143,13,player,5,0,885.42,350.59,7945.94,4857.18,794.59,555.11,0.816
4,0.143,4,player,7,1,742.73,410.58,7247.82,5725.42,724.78,654.33,0.806
4,0.143,17,player,9,1,384.94,283.35,3567.68,4093.67,356.77,467.85,0.797
4,0.143,15,player,6,0,502.46,307.6,4711.32,4416.86,471.13,504.78,0.793
4,0.143,19,player,9,0,576.9,203.62,3610.94,1998.13,361.09,228.36,0.777
4,0.143,23,player,10,0,665.61,214.65,4636.12,2157.04,463.61,246.52,0.718
4,0.143,1,player,111,0,67.53,284.9,1658.56,4360.61,165.86,498.36,0.911
4,0.143,-1,ball,,,993.84,531.79,9237.9,6850.49,923.79,770.0,0.855
5,0.179,8,player,11,1,331.44,500.51,5557.24,6626.54,555.72,757.32,0.923
5,0.179,9,player,8,1,703.16,521.17,7559.61,6774.83,755.96,770.0,0.914
5,0.179,14,player,1,0,481.65,390.74,5474.83,5577.7,547.48,637.45,0.913
